iter	Passed	Remaining
732	3215	1171
733	3218	1166
734	3227	1163
735	3235	1160
736	3251	1160
737	3254	1155
738	3261	1151
739	3270	1148
740	3274	1144
741	3276	1139
742	3282	1135
743	3288	1131
744	3293	1127
745	3300	1123
746	3304	1119
747	3308	1114
748	3315	1111
749	3324	1108
750	3329	1103
751	3332	1098
752	3335	1094
753	3337	1088
754	3340	1083
755	3342	1078
756	3345	1073
757	3348	1069
758	3351	1064
759	3353	1059
760	3356	1054
761	3358	1048
762	3361	1044
763	3364	1039
764	3367	1034
765	3371	1029
766	3373	1024
767	3376	1019
768	3379	1015
769	3381	1010
770	3384	1005
771	3387	1000
772	3391	995
773	3393	990
774	3396	986
775	3398	981
776	3400	975
777	3403	971
778	3407	966
779	3410	962
780	3412	957
781	3415	952
782	3418	947
783	3421	942
784	3425	938
785	3427	933
786	3431	928
787	3434	923
788	3437	919
789	3440	914
790	3443	909
791	3445	904
792	3448	900
793	3450	895
794	3453	890
795	3456	885
796	3459	881
797	3462	876
798	3465	871
799	3469	867
800	3472	862
801	3475	857
802	3478	853
803	3481	848
804	3484	844
805	3487	839
806	3490	834
807	3493	830
808	3496	825
809	3499	820
810	3502	816
811	3506	811
812	3509	807
813	3512	802
814	3515	797
815	3517	793
816	3524	789
817	3527	784
818	3530	780
819	3533	775
820	3536	771
821	3539	766
822	3543	762
823	3546	757
824	3549	752
825	3552	748
826	3555	743
827	3558	739
828	3561	734
829	3564	730
830	3567	725
831	3570	721
832	3573	716
833	3576	711
834	3580	707
835	3583	702
836	3586	698
837	3589	694
838	3593	689
839	3596	685
840	3600	680
841	3603	676
842	3607	671
843	3609	667
844	3612	662
845	3615	658
846	3618	653
847	3621	649
848	3624	644
849	3627	640
850	3630	635
851	3632	631
852	3635	626
853	3638	622
854	3642	617
855	3645	613
856	3648	608
857	3651	604
858	3654	599
859	3657	595
860	3659	590
861	3663	586
862	3666	582
863	3669	577
864	3672	573
865	3676	568
866	3678	564
867	3683	560
868	3687	555
869	3689	551
870	3692	546
871	3696	542
872	3699	538
873	3702	533
874	3706	529
875	3708	524
876	3712	520
877	3715	516
878	3718	511
879	3721	507
880	3724	503
881	3727	498
882	3730	494
883	3733	489
884	3737	485
885	3740	481
886	3743	476
887	3746	472
888	3749	468
889	3752	463
890	3755	459
891	3758	455
892	3761	450
893	3765	446
894	3768	442
895	3771	437
896	3774	433
897	3777	429
898	3780	424
899	3783	420
900	3786	416
901	3789	411
902	3792	407
903	3796	403
904	3798	398
905	3801	394
906	3804	390
907	3812	386
908	3817	382
909	3822	378
910	3826	373
911	3829	369
912	3833	365
913	3836	360
914	3839	356
915	3842	352
916	3846	348
917	3849	343
918	3853	339
919	3857	335
920	3860	331
921	3863	326
922	3866	322
923	3870	318
924	3873	314
925	3876	309
926	3879	305
927	3882	301
928	3885	296
929	3888	292
930	3892	288
931	3895	284
932	3898	279
933	3901	275
934	3904	271
935	3907	267
936	3910	262
937	3914	258
938	3917	254
939	3920	250
940	3924	246
941	3926	241
942	3929	237
943	3933	233
944	3936	229
945	3940	224
946	3943	220
947	3946	216
948	3949	212
949	3952	208
950	3955	203
951	3958	199
952	3961	195
953	3964	191
954	3967	186
955	3971	182
956	3974	178
957	3977	174
958	3980	170
959	3983	165
960	3986	161
961	3989	157
962	3992	153
963	3995	149
964	3999	145
965	4002	140
966	4005	136
967	4009	132
968	4012	128
969	4015	124
970	4018	120
971	4021	115
972	4024	111
973	4028	107
974	4031	103
975	4034	99
976	4037	95
977	4041	90
978	4044	86
979	4047	82
980	4049	78
981	4052	74
982	4055	70
983	4058	65
984	4062	61
985	4065	57
986	4068	53
987	4071	49
988	4074	45
989	4077	41
990	4080	37
991	4084	32
992	4087	28
993	4090	24
994	4093	20
995	4096	16
996	4099	12
997	4103	8
998	4106	4
999	4108	0

975	10964	269
976	10968	258
977	10973	246
978	10978	235
979	10980	224
980	10984	212
981	10987	201
982	10990	190
983	10993	178
984	10997	167
985	11000	156
986	11004	144
987	11007	133
988	11012	122
989	11017	111
990	11020	100
991	11025	88
992	11028	77
993	11036	66
994	11046	55
995	11056	44
996	11067	33
997	11075	22
998	11082	11
999	11092	0
